Title,Opening Date,Theatre ID,Theatre Name (from Show Info),Production Type,Intermissions,Show Type,Show ID,Year,Closing Date,N Performances,Other Titles,Previews Date,Running Time,Official Website,Show Type Simple,Show Never Opened,Run Time,Revival,Pre-Broadway,Limited Run,Repertory
Iolanthe,1900-01-08,7125,American Theatre,Revival,1.0,Opera,1126,1900,,8,"Iolanthe, or, the Peer and the Pen",,,,Opera,,,True,,,
The Magic Melody,1900-01-22,5651,American Theatre,Original Production,1.0,Musical,1129,1900,,8,,,,,Musical,False,,False,,False,False
The Mikado,1900-04-16,7125,American Theatre,Revival,1.0,Operetta,1131,1900,,8,"The Mikado, or, the Town of Titipu (full title)",,,,Musical,,,True,,,
A Million Dollars,1900-09-27,5331,New York Theatre,Original Production,1.0,Musical,1132,1900,,28,,,,,Musical,,,False,,,
The Rounders,1900-06-25,7167,Casino Theatre,Revival,1.0,Musical,1133,1900,,36,,,,,Musical,,,True,,,
A Night in Venice,1900-04-30,7125,American Theatre,Revival,1.0,Musical,1134,1900,,8,Eine Nacht in Venedig (German title),,,,Musical,,,True,,,
Patience,1900-03-19,7125,American Theatre,Revival,1.0,Operetta,1135,1900,,8,"Patience, or, Bunthorne's Bride (full title)",,,,Musical,,,True,,,
The Pirates of Penzance,1900-02-05,7125,American Theatre,Revival,1.0,Operetta,1136,1900,,8,The Pirates of Penzance or The Slave of Duty (full title),,,,Musical,,,True,,,
A Romance of Athlone,1900-01-29,7090,Haverly's 14th Street Theatre,Original Production,1.0,Play,1140,1900,,41,,,,,Play,,,False,,,
A Royal Rogue,1900-12-24,5017,Broadway Theatre,Original Production,1.0,Musical,1141,1900,,30,,,,,Musical,,,False,,,
A Runaway Girl,1900-04-23,7561,Daly's Theatre,Revival,1.0,Musical,1142,1900,1900-06-02,40,,,,,Musical,,,True,,,
Sons of Ham,1900-10-15,7557,Star Theatre,Original Production,1.0,Musical,1145,1900,,8,,,,,Musical,,,False,,,
Twelfth Night,1900-02-26,7519,Fifth Avenue Theatre,Revival,,Play,312248,1900,,,,,,,Play,False,,True,,,
The Gunner's Mate,1900-01-09,5720,Grand Opera House,Original Production,,Play,312638,1900,,,,,,,Play,False,,False,,,
Man's Enemy,1900-01-29,7557,Star Theatre,Original Production,,Play,312639,1900,,,,,,,Play,False,,False,,,
The Ladies' Battle,1900-02-26,7519,Fifth Avenue Theatre,Original Production,,Play,312640,1900,,,,,,,Play,False,,False,,,
Marie Antoinette,1900-02-26,7519,Fifth Avenue Theatre,Original Production,,Play,312641,1900,,,,,,,Play,False,,False,,,
Mary Stuart,1900-02-26,7519,Fifth Avenue Theatre,Original Production,,Play,312642,1900,,,,,,,Play,False,,False,,,
The Amber Heart,1900-03-12,5300,Knickerbocker Theatre,Original Production,,Play,312643,1900,,,,,,,Play,False,,False,,,
Robespierre,1900-03-12,5300,Knickerbocker Theatre,Original Production,,Play,312644,1900,,,,,,,Play,False,,False,,,
Waterloo,1900-03-12,5300,Knickerbocker Theatre,Original Production,,Play,312645,1900,,,,,,,Play,False,,False,,,
Across the Pacific,1900-03-19,7557,Star Theatre,Original Production,,Play,312646,1900,,,,,,,Play,False,,False,,,
Oliver Goldsmith,1900-03-19,7519,Fifth Avenue Theatre,Original Production,,Play,312647,1900,,33,,,,,Play,False,,False,,,
On the Stroke of Twelve,1900-03-26,7557,Star Theatre,Original Production,,Play,312648,1900,,,,,,,Play,False,,False,,,
Dangerous Women,1900-04-16,7557,Star Theatre,Original Production,,Play,312649,1900,,,,,,,Play,False,,False,,,
Caught in the Web,1900-04-23,7557,Star Theatre,Original Production,,Play,312650,1900,,,,,,,Play,False,,False,,,
Uncle Sam in China,1900-09-03,7557,Star Theatre,Original Production,,Play,312651,1900,,,,,,,Play,False,,False,,,
A Wife in Pawn,1900-09-10,5720,Grand Opera House,Original Production,,,312652,1900,,,,,,,,False,,False,,,
Reaping the Whirlwind,1900-09-17,7557,Star Theatre,Original Production,,Play,312653,1900,,,,,,,Play,False,,False,,,
The Great White Diamond,1900-11-05,7557,Star Theatre,Original Production,,Play,312654,1900,,,,,,,Play,False,,False,,,
A Man from the West,1900-11-12,5720,Grand Opera House,Original Production,,,312655,1900,,,,,,,,False,,False,,,
An African King,1900-11-19,7557,Star Theatre,Original Production,,Play,312656,1900,,,,,,,Play,False,,False,,,
The Flaming Arrow,1900-12-17,7557,Star Theatre,Original Production,,Play,312657,1900,,,,,,,Play,False,,False,,,
Tom Pinch,1900-12-31,5794,Garden Theatre,Original Production,,Play,312658,1900,,,,,,,Play,False,,False,,,
Much Ado About Nothing,1900-02-26,7519,Fifth Avenue Theatre,Revival,,Play,313643,1900,,,,,,,Play,False,,True,,,
Macbeth,1900-02-26,7519,Fifth Avenue Theatre,Revival,,Play,313644,1900,,,,,,,Play,False,,True,,,
The Second Mrs. Tanqueray,1900-03-06,7566,Chickering Hall,Revival,,Play,313645,1900,,,,,,,Play,False,,True,,,
Nance Oldfield,1900-03-12,5300,Knickerbocker Theatre,Revival,,Play,313646,1900,,,,,,,Play,False,,True,,,
The Bells,1900-03-12,5300,Knickerbocker Theatre,Revival,,Play,313647,1900,,,,,,,Play,False,,True,,,
The Merchant of Venice,1900-03-12,5300,Knickerbocker Theatre,Revival,,Play,313648,1900,,,,,,,Play,False,,True,,,
David Garrick,1900-12-31,5794,Garden Theatre,Revival,,Play,313650,1900,,,,,,,Play,False,,True,,,
The Professor's Love Story,1900-12-31,5794,Garden Theatre,Revival,,Play,313651,1900,,,,,,,Play,False,,True,,,
The Middleman,1900-12-31,5794,Garden Theatre,Revival,,Play,313652,1900,,,,,,,Play,False,,True,,,
The Peacemaker,1900-04-09,7396,Murray Hill Theatre,,,Unknown,313946,1900,,,,,,,Unknown,False,,,,,
The Angel of the Alley,1900-08-02,7557,Star Theatre,,,Unknown,313947,1900,,,,,,,Unknown,False,,,,,
Woman and Wine,1900-04-11,7468,Manhattan Theatre,Original Production,,Play,314025,1900,,69,,,,,Play,False,,False,,,
The Man of Forty,1900-11-26,7561,Daly's Theatre,Original Production,,Play,314041,1900,,29,,,,,Play,False,,False,,,
Sag Harbor,1900-09-27,7446,Theatre Republic,Original Production,,Play,314484,1900,,76,,,,,Play,False,,False,,,
Lost River,1900-10-03,7090,Haverly's 14th Street Theatre,Original Production,,Play,314485,1900,,95,,,,,Play,False,,False,,,
"Her Majesty, the Girl Queen of Nordenmark",1900-10-15,7468,Manhattan Theatre,Original Production,,Play,314486,1900,,58,,,,,Play,False,,False,,,
L'Aiglon,1900-10-22,5300,Knickerbocker Theatre,Original Production,,Play,314487,1900,,73,,,,,Play,False,,False,,,
The Sprightly Romance of Marsac,1900-12-03,7446,Theatre Republic,Original Production,,Play,314488,1900,,32,,,,,Play,False,,False,,,
Sapho,1900-11-12,7566,Chickering Hall,Revival,,Play,314489,1900,,28,,,,,Play,False,,True,,,
L'Aiglon,1900-11-26,5794,Garden Theatre,Revival,,Play,314490,1900,,16,,,,,Play,False,,True,,,
Cyrano de Bergerac,1900-11-26,5794,Garden Theatre,,,Play,314491,1900,,8,,,,,Play,False,,,,,
Hamlet,1900-11-26,5794,Garden Theatre,,,Play,314492,1900,,8,,,,,Play,False,,,,,
Sold and Paid For,1900-12-07,7292,Herald Square Theatre,Original Production,,Play,314511,1900,,1,,,,,Play,False,,False,,,
King Henry V,1900-10-03,5794,Garden Theatre,Revival,,Play,315009,1900,,54,,,,,Play,False,,True,,,
More Than Queen,1900-10-30,5017,Broadway Theatre,Revival,,Play,315010,1900,,7,,,,,Play,False,,True,,,
Zaza,1900-10-01,5271,Criterion Center Stage Right,,,Play,315011,1900,,42,,,,,Play,False,,,,,
La Tosca,1900-11-26,5794,Garden Theatre,,,,315012,1900,,4,,,,,,False,,,,,
La Dame aux Camelias,1900-11-26,5794,Garden Theatre,,,Play,315013,1900,,4,,,,,Play,False,,,,,
The Parish Priest,1900-08-30,7090,Haverly's 14th Street Theatre,Original Production,,Play,315463,1900,,37,,,,,Play,False,,False,,,
Prince Otto,1900-09-03,7566,Chickering Hall,Original Production,,Play,315464,1900,,40,,,,,Play,False,,False,,,
Ben Hur,1900-09-03,5017,Broadway Theatre,Original Production,,Play,315465,1900,,40,,,,,Play,False,,False,,,
Caleb West,1900-09-17,7468,Manhattan Theatre,Original Production,,Play,315466,1900,,32,,,,,Play,False,,False,,,
Marcelle,1900-10-08,5017,Broadway Theatre,Original Production,,Play,315467,1900,,24,,,,,Play,False,,False,,,
Self and Lady,1900-10-08,7363,Hoyt's Theatre,Original Production,,Play,315468,1900,,14,,,,,Play,False,,False,,,
Hamlet,1900-09-17,5794,Garden Theatre,Revival,,Play,315469,1900,,16,,,,,Play,False,,True,,,
The Pride of Jennico,1900-09-03,5271,Criterion Center Stage Right,,,Play,315470,1900,,32,,,,,Play,False,,,,,
Cupid Outwits Adam,1900-09-10,5783,Bijou Theatre,Original Production,,Play,315746,1900,,8,,,,,Play,False,,False,,,
The Casino Girl,1900-08-06,7167,Casino Theatre,Revival,,Musical,315747,1900,,40,,,,,Musical,False,,True,,,
Brother Officers,1900-08-27,7233,Empire Theatre,Revival,,Play,315748,1900,,16,,,,,Play,False,,True,,,
Quo Vadis,1900-04-09,5331,New York Theatre,,,Unknown,315973,1900,,96,,,,,Unknown,False,,,,,
The Pride of Jennico,1900-03-06,5271,Criterion Center Stage Right,Original Production,,Play,316334,1900,,111,,,,,Play,False,,False,,,
Hearts Are Trumps,1900-02-21,5794,Garden Theatre,Original Production,,Play,316861,1900,,93,,,,,Play,False,,False,,,
Borderside,1900-04-30,7419,Lyceum Theatre,Original Production,,Play,316862,1900,,16,,,,,Play,False,,False,,,
Sapho,1900-04-07,7566,Chickering Hall,,,Play,316864,1900,,55,,,,,Play,False,,,,,
Quo Vadis,1900-04-09,7292,Herald Square Theatre,,,Unknown,316865,1900,,32,,,,,Unknown,False,,,,,
Mrs. Dane's Defense,1900-12-31,7233,Empire Theatre,Original Production,,Play,317307,1900,,107,,,,,Play,False,,False,,,
In the Palace of the King,1900-12-31,7446,Theatre Republic,Original Production,,Play,317308,1900,,138,,,,,Play,False,,False,,,
Brother Officers,1900-01-16,7233,Empire Theatre,Original Production,,Play,317315,1900,,88,,,,,Play,False,,False,,,
My Daughter-in-law,1900-02-26,7419,Lyceum Theatre,Original Production,,Play,317316,1900,,72,,,,,Play,False,,False,,,
Little Nell and the Marchioness,1900-03-26,7292,Herald Square Theatre,Original Production,,Play,317317,1900,,16,,,,,Play,False,,False,,,
Twelve Months Later,1900-03-26,7363,Hoyt's Theatre,Original Production,,Play,317318,1900,,8,,,,,Play,False,,False,,,
The Sunken Bell,1900-03-26,5300,Knickerbocker Theatre,Original Production,,Play,317319,1900,,40,,,,,Play,False,,False,,,
Why Smith Left Home,1900-04-09,7363,Hoyt's Theatre,Original Production,,Play,317320,1900,,24,,,,,Play,False,,False,,,
The Interrupted Honeymoon,1900-03-20,7561,Daly's Theatre,Original Production,,Play,317334,1900,,23,,,,,Play,False,,False,,,
All on Account of Eliza,1900-09-03,7524,Garrick Theatre,Original Production,,Play,317786,1900,,56,,,,,Play,False,,False,,,
"Madge Smith, Attorney",1900-12-10,5783,Bijou Theatre,Original Production,,Play,317787,1900,,46,,,,,Play,False,,False,,,
Naughty Anthony,1900-01-08,7292,Herald Square Theatre,Original Production,,Play,317789,1900,,90,,,,,Play,False,,False,,,
When We Were Twenty-one,1900-02-05,5300,Knickerbocker Theatre,Original Production,,Play,317790,1900,,41,,,,,Play,False,,False,,,
"Coralie and Company, Dressmakers",1900-02-05,7363,Hoyt's Theatre,Original Production,,Play,317791,1900,,57,,,,,Play,False,,False,,,
Madame Butterfly,1900-03-05,7292,Herald Square Theatre,Original Production,,Play,317792,1900,,24,,,,,Play,False,,False,,,
The Carpetbagger,1900-03-05,7090,Haverly's 14th Street Theatre,Original Production,,Play,317793,1900,,34,,,,,Play,False,,False,,,
The Ambassador,1900-02-05,7561,Daly's Theatre,Original Production,,Play,317795,1900,,51,,,,,Play,False,,False,,,
Lady Huntworth's Experiment,1900-12-21,7561,Daly's Theatre,Original Production,,Play,317817,1900,,86,,,,,Play,False,,False,,,
A Royal Family,1900-09-05,7419,Lyceum Theatre,Original Production,,Play,318210,1900,,175,,,,,Play,False,,False,,,
David Harum,1900-10-01,7524,Garrick Theatre,Original Production,,Play,318211,1900,,148,,,,,Play,False,,False,,,
Janice Meredith,1900-12-10,7566,Chickering Hall,Original Production,,Play,318212,1900,,92,,,,,Play,False,,False,,,
The Degenerates,1900-01-15,5794,Garden Theatre,Original Production,,Play,318217,1900,,36,,,,,Play,False,,False,,,
The Surprises of Love,1900-01-22,7419,Lyceum Theatre,Original Production,,Play,318218,1900,,41,,,,,Play,False,,False,,,
The Countess Chiffon,1900-02-06,7519,Fifth Avenue Theatre,Original Production,,Play,318219,1900,,8,,,,,Play,False,,False,,,
The King of Rogues,1900-01-22,7557,Star Theatre,Original Production,,Play,318233,1900,,,,,,,Play,False,,False,,,
The Floor Walkers,1900-01-29,5720,Grand Opera House,Original Production,,Musical,318735,1900,,16,,,,,Musical,False,,False,,,
Mistress Nell,1900-10-09,5783,Bijou Theatre,Original Production,,Play,318736,1900,,104,,,,,Play,False,,False,,,
The Gay Lord Quex,1900-11-12,5271,Criterion Center Stage Right,Original Production,,Play,318737,1900,,67,,,,,Play,False,,False,,,
The House That Jack Built,1900-12-24,7363,Hoyt's Theatre,Original Production,,Play,318738,1900,,18,,,,,Play,False,,False,,,
Sweet Nell of Old Drury,1900-12-31,5300,Knickerbocker Theatre,Original Production,,Play,318739,1900,,18,,,,,Play,False,,False,,,
Monte Cristo,1900-10-23,5339,Academy of Music,,,,318740,1900,,80,,,,,,False,,,,,
Richard Carvel,1900-09-11,7233,Empire Theatre,Original Production,,Play,318741,1900,,128,,,,,Play,False,,False,,,
The Village Postmaster,1900-12-24,7090,Haverly's 14th Street Theatre,Revival,,Play,318746,1900,,16,,,,,Play,False,,True,,,
Quo Vadis,1900-12-31,5339,Academy of Music,,,Unknown,318747,1900,,32,,,,,Unknown,False,,,,,
Arizona,1900-09-10,7292,Herald Square Theatre,Original Production,,Play,318763,1900,,140,,,,,Play,False,,False,,,
The Master Builder,1900-01-17,7166,Carnegie Lyceum,Original Production,,Play,318782,1900,1900-01-17,1,,,,,Play,False,,False,,,
The Storm,1900-02-02,7166,Carnegie Lyceum,Original Production,,Play,318785,1900,1900-02-02,1,,,,,Play,False,,False,,,
Sapho,1900-02-05,7566,Chickering Hall,Original Production,,Play,318786,1900,1900-03-05,29,,,,,Play,False,,False,,,
The Regatta Girl,1900-03-14,7661,Koster and Bial's Music Hall,Original Production,,Musical,318790,1900,1900-03-31,22,,,,,Musical,False,,False,,,
The Weather Hen,1900-04-13,7468,Manhattan Theatre,Original Production,,Play,318793,1900,1900-04-13,1,,,,,Play,False,,False,,,
The Viceroy,1900-04-30,5300,Knickerbocker Theatre,Original Production,,Musical,318794,1900,1900-05-05,28,,,,,Musical,False,,False,,,
The Rebel,1900-08-20,5339,Academy of Music,Original Production,,Play,318796,1900,1900-10-20,57,,,,,Play,False,,False,,,
The Greatest Thing in the World,1900-10-08,7566,Chickering Hall,Original Production,,Play,318802,1900,1900-10-22,17,,,,,Play,False,,False,,,
The Belle of Bridgeport,1900-10-29,5783,Bijou Theatre,Original Production,,Play,318804,1900,1900-12-08,45,,,,,Play,False,,False,,,
Cashel Byron,1900-12-27,7292,Herald Square Theatre,Original Production,,Play,318813,1900,1900-12-27,1,,,,,Play,False,,False,,,
Maritana,1900-02-12,7125,American Theatre,Revival,,Opera,319197,1900,1900-02-17,8,,,,,Opera,False,,True,,,
The Mascot,1900-02-19,7125,American Theatre,Revival,,Musical,319198,1900,1900-02-24,9,,,,,Musical,False,,True,,,
Fra Diavolo,1900-03-12,7125,American Theatre,Revival,,Musical,319200,1900,1900-03-17,8,The Devil's Brother (alternate title),,,,Musical,False,,True,,,
The Profligate,1900-03-17,7566,Chickering Hall,Revival,,Play,319201,1900,1900-03-21,,,,,,Play,False,,True,,,
The Black Hussar,1900-04-23,7125,American Theatre,Revival,,Musical,319204,1900,1900-04-28,8,,,,,Musical,False,,True,,,
Aunt Hannah,1900-02-22,5783,Bijou Theatre,Original Production,1.0,Musical,3320,1900,,21,,,,,Musical,False,,False,,,
The Belle of Bohemia,1900-09-24,7167,Casino Theatre,Original Production,1.0,,3444,1900,,55,,,,,,False,,False,,,
Broadway to Tokio,1900-01-23,5331,New York Theatre,Original Production,1.0,Revue,3719,1900,,88,,,,,Revue,False,,False,,,
The Burgomaster,1900-12-31,5139,Manhattan Theatre,Original Production,1.0,Musical,3739,1900,,33,,,,,Musical,False,,False,,,
The Cadet Girl,1900-07-25,7292,Herald Square Theatre,Original Production,1.0,Musical,3773,1900,,48,,,,,Musical,False,,False,,,
The Casino Girl,1900-03-19,7167,Casino Theatre,Original Production,1.0,Musical,3887,1900,,105,,,,,Musical,False,,False,,,
Chris and the Wonderful Lamp,1900-01-01,5802,Victoria Theatre,Original Production,1.0,Musical,3995,1900,,58,,,,,Musical,False,,False,,,
Fiddle-Dee-Dee,1900-09-06,7487,Weber and Fields' Music Hall,Original Production,1.0,Revue,4487,1900,1901-04-20,262,,,,,Revue,False,,False,,False,False
Florodora,1900-11-10,7167,Casino Theatre,Original Production,1.0,Musical,4571,1900,1902-01-25,505,,,,,Musical,False,,False,,False,False
Foxy Quiller (In Corsica),1900-11-05,5017,Broadway Theatre,Original Production,1.0,Musical,4646,1900,,50,Foxy Quiller in Corsica,,,,Musical,False,,False,,,
The Giddy Throng,1900-12-24,5331,New York Theatre,Original Production,1.0,Revue,4769,1900,,164,,,,,Revue,False,,False,,,
"Hodge, Podge & Co.",1900-10-23,5320,Madison Square Theatre,Original Production,1.0,Musical,5114,1900,,81,,,,,Musical,False,,False,,,
Little Red Riding Hood,1900-01-08,7167,Casino Theatre,Original Production,1.0,Revue,5673,1900,,24,,,,,Revue,False,,False,,,
Mam'selle 'Awkins,1900-02-26,5802,Victoria Theatre,Original Production,1.0,Musical,5838,1900,,35,,,,,Musical,False,,False,,,
The Military Maid,1900-10-08,7528,Savoy Theatre,Original Production,1.0,Musical,6018,1900,,8,,,,,Musical,False,,False,,,
Miss Prinnt,1900-12-25,5802,Victoria Theatre,Original Production,1.0,Musical,6041,1900,,28,,,,,Musical,False,,False,,,
The Monks of Malabar,1900-09-14,5300,Knickerbocker Theatre,Original Production,1.0,Musical,6067,1900,,39,,,,,Musical,False,,False,,,
Nanon,1900-04-02,7125,American Theatre,Original Production,1.0,Musical,6180,1900,,8,"Nanon, the Hostess of the Golden Lamb (alternate title)",,,,Musical,,,False,,,
Nell-Go-In,1900-10-31,5331,New York Theatre,Original Production,1.0,,6199,1900,,25,,,,,,False,,False,,,
The Princess Chic,1900-02-12,7167,Casino Theatre,Original Production,1.0,Musical,6757,1900,,22,,,,,Musical,False,,False,,,
Robin Hood,1900-04-30,5300,Knickerbocker Theatre,Revival,1.0,Musical,6909,1900,,,Maid Marian (London title),,,,Musical,False,,True,,True,True
The Rogers Brothers in Central Park,1900-09-17,5800,Hammerstein's Victoria Theatre,Original Production,1.0,Musical,6931,1900,,80,,,,,Musical,False,,False,,,
The Rose of Persia,1900-09-06,5346,Daly's Theatre,Original Production,1.0,,6966,1900,,25,,,,,,False,,False,,,
San Toy,1900-10-01,5346,Daly's Theatre,Original Production,1.0,Musical,7009,1900,,65,"San Toy, or, the Emperor's Own (full title)",,,,Musical,False,,False,,False,False
Star and Garter,1900-11-26,5802,Victoria Theatre,Original Production,1.0,Revue,7303,1900,,22,,,,,Revue,False,,False,,,
Sweet Anne Page,1900-12-03,5139,Manhattan Theatre,Original Production,1.0,Musical,7425,1900,,29,,,,,Musical,False,,False,,,
Nell Gwynne,1901-05-06,7661,Koster and Bial's Music Hall,Revival,1.0,Musical,1160,1901,,12,,,,,Musical,,,True,,,
Lost in the Desert,1901-01-14,7557,Star Theatre,Original Production,,Play,312659,1901,,,,,,,Play,False,,False,,,
The Honest Blacksmith,1901-01-21,7557,Star Theatre,Original Production,,Play,312660,1901,,,,,,,Play,False,,False,,,
Nell Gwyn,1901-01-21,7396,Murray Hill Theatre,Original Production,,Play,312661,1901,,,,,,,Play,False,,False,,,
The Master-of-Arms,1901-02-25,7125,American Theatre,Original Production,,Play,312662,1901,,,,,,,Play,False,,False,,,
The Convict's Daughter,1901-03-18,7557,Star Theatre,Original Production,,Play,312663,1901,,,,,,,Play,False,,False,,,
Winchester,1901-04-22,7125,American Theatre,Original Production,,Play,312664,1901,,,,,,,Play,False,,False,,,
The Prisoner of Algiers,1901-05-13,7125,American Theatre,Original Production,,Play,312665,1901,,,,,,,Play,False,,False,,,
Kit Carson,1901-05-27,7125,American Theatre,Original Production,,Play,312666,1901,,,,,,,Play,False,,False,,,
Prince Charlie,1901-10-22,5271,Criterion Center Stage Right,Original Production,,Play,312667,1901,,,,,,,Play,False,,False,,,
Charles I,1901-10-21,5300,Knickerbocker Theatre,Revival,,Play,313653,1901,,,,,,,Play,False,,True,,,
Louis XI,1901-10-21,5300,Knickerbocker Theatre,Revival,,Play,313654,1901,,,,,,,Play,False,,True,,,
Nance Oldfield,1901-10-21,5300,Knickerbocker Theatre,Revival,,Play,313655,1901,,,,,,,Play,False,,True,,,
Waterloo,1901-10-21,5300,Knickerbocker Theatre,Revival,,Play,313656,1901,,,,,,,Play,False,,True,,,
Madame Sans-Gene,1901-10-21,5300,Knickerbocker Theatre,Revival,,Play,313657,1901,,,,,,,Play,False,,True,,,
The Lyons Mail,1901-10-21,5300,Knickerbocker Theatre,Revival,,Play,313658,1901,,,,,,,Play,False,,True,,,
The Bells,1901-10-21,5300,Knickerbocker Theatre,Revival,,Play,313659,1901,,,,,,,Play,False,,True,,,
The Merchant of Venice,1901-10-21,5300,Knickerbocker Theatre,Revival,,Play,313660,1901,,,,,,,Play,False,,True,,,
A Royal Rival,1901-08-26,5271,Criterion Center Stage Right,Original Production,,Play,314474,1901,,112,,,,,Play,False,,False,,,
The Second in Command,1901-09-02,7233,Empire Theatre,Original Production,,Play,314475,1901,,128,,,,,Play,False,,False,,,
The Auctioneer,1901-09-23,5783,Bijou Theatre,Original Production,,Play,314476,1901,,105,,,,,Play,False,,False,,,
If I Were King,1901-10-14,5794,Garden Theatre,Original Production,,Play,314477,1901,,56,,,,,Play,False,,False,,,
New England Folks,1901-10-21,7090,Haverly's 14th Street Theatre,Original Production,,Play,314478,1901,,64,,,,,Play,False,,False,,,
Eben Holden,1901-10-28,7528,Savoy Theatre,Original Production,,Play,314479,1901,,49,,,,,Play,False,,False,,,
The Way of the World,1901-11-04,7480,Victoria Theatre,Original Production,,Play,314480,1901,,35,,,,,Play,False,,False,,,
Colorado,1901-11-18,7566,Chickering Hall,Original Production,,Play,314481,1901,,48,,,,,Play,False,,False,,,
The Helmet of Navarre,1901-12-02,5271,Criterion Center Stage Right,Original Production,,Play,314482,1901,,24,,,,,Play,False,,False,,,
The Marriage Game,1901-12-10,7480,Victoria Theatre,Original Production,,Play,314483,1901,,20,,,,,Play,False,,False,,,
Don Caesar's Return,1901-09-03,7566,Chickering Hall,Original Production,,Play,315004,1901,,87,,,,,Play,False,,False,,,
The Bonnie Brier Bush,1901-09-23,7446,Theatre Republic,Original Production,,Play,315005,1901,,56,,,,,Play,False,,False,,,
Miranda of the Balcony,1901-09-24,7468,Manhattan Theatre,Original Production,,Play,315006,1901,,62,,,,,Play,False,,False,,,
The Love Match,1901-10-12,7419,Lyceum Theatre,Original Production,,Play,315007,1901,,57,,,,,Play,False,,False,,,
The Fatal Wedding,1901-10-28,5720,Grand Opera House,Original Production,,Play,315008,1901,,8,,,,,Play,False,,False,,,
The Forest Lovers,1901-09-10,7419,Lyceum Theatre,Original Production,,Play,315042,1901,,47,,,,,Play,False,,False,,,
Richard Lovelace,1901-09-09,5794,Garden Theatre,Original Production,,Play,315459,1901,,40,,,,,Play,False,,False,,,
The Red Kloof,1901-09-21,7528,Savoy Theatre,Original Production,,Play,315460,1901,,41,,,,,Play,False,,False,,,
The Cipher Code,1901-09-30,7090,Haverly's 14th Street Theatre,Original Production,,Play,315461,1901,,24,,,,,Play,False,,False,,,
Captain Jinks of the Horse Marines,1901-09-16,7524,Garrick Theatre,,,Play,315462,1901,,24,,,,,Play,False,,,,,
The Mormon Wife,1901-08-19,7090,Haverly's 14th Street Theatre,Original Production,,Play,315743,1901,,32,,,,,Play,False,,False,,,
Up York State,1901-09-16,7090,Haverly's 14th Street Theatre,Original Production,,Play,315744,1901,,15,,,,,Play,False,,False,,,
Are You a Mason?,1901-08-19,7524,Garrick Theatre,Revival,,Play,315745,1901,,32,,,,,Play,False,,True,,,
Captain Jinks of the Horse Marines,1901-02-04,7524,Garrick Theatre,Original Production,,Play,315971,1901,,168,,,,,Play,False,,False,,,
On the Quiet,1901-02-11,7363,Hoyt's Theatre,Original Production,,Play,315972,1901,,160,,,,,Play,False,,False,,,
The Brixton Burglary,1901-05-20,7292,Herald Square Theatre,Original Production,,Play,315974,1901,,48,,,,,Play,False,,False,,,
When Knighthood Was in Flower,1901-01-14,5271,Criterion Center Stage Right,Original Production,,Play,316328,1901,,176,,,,,Play,False,,False,,,
The Climbers,1901-01-21,5783,Bijou Theatre,Original Production,,Play,316329,1901,,163,,,,,Play,False,,False,,,
Under Two Flags,1901-02-05,5794,Garden Theatre,Original Production,,Play,316330,1901,,135,,,,,Play,False,,False,,,
Uncle Tom's Cabin,1901-04-04,5339,Academy of Music,,,Play,316331,1901,,88,,,,,Play,False,,,,,
Diplomacy,1901-04-15,7233,Empire Theatre,,,Play,316332,1901,,56,,,,,Play,False,,,,,
Mistress Nell,1901-04-29,7566,Chickering Hall,,,Play,316333,1901,,40,,,,,Play,False,,,,,
Du Barry,1901-12-25,5271,Criterion Center Stage Right,Original Production,,Play,316857,1901,,165,,,,,Play,False,,False,,,
Lover's Lane,1901-02-06,7468,Manhattan Theatre,Original Production,,Play,316858,1901,,127,,,,,Play,False,,False,,,
The Price of Peace,1901-03-21,5017,Broadway Theatre,Original Production,,Play,316859,1901,,60,,,,,Play,False,,False,,,
The Merchant of Venice,1901-05-24,5300,Knickerbocker Theatre,Revival,,Play,316860,1901,,3,,,,,Play,False,,True,,,
A Gentleman of France,1901-12-30,7566,Chickering Hall,Original Production,,Play,317298,1901,,120,,,,,Play,False,,False,,,
To Have and to Hold,1901-03-04,5300,Knickerbocker Theatre,Original Production,,Play,317309,1901,,40,,,,,Play,False,,False,,,
Manon Lescaut,1901-03-19,7566,Chickering Hall,Original Production,,Play,317310,1901,,15,,,,,Play,False,,False,,,
Are You a Mason?,1901-04-01,7566,Chickering Hall,Original Production,,Play,317311,1901,,32,,,,,Play,False,,False,,,
Brother Officers,1901-04-08,7233,Empire Theatre,Revival,,Play,317313,1901,,8,,,,,Play,False,,True,,,
L'Aiglon,1901-04-08,5829,Metropolitan Opera House,,,Play,317314,1901,,8,,,,,Play,False,,,,,
The Girl and the Judge,1901-12-04,7419,Lyceum Theatre,Original Production,,Play,317781,1901,,125,,,,,Play,False,,False,,,
The Wilderness,1901-12-23,7233,Empire Theatre,Original Production,,Play,317782,1901,,80,,,,,Play,False,,False,,,
A Message from Mars,1901-10-07,7524,Garrick Theatre,Original Production,,Play,317785,1901,,184,,,,,Play,False,,False,,,
Barbara Frietchie,1901-01-28,5339,Academy of Music,Revival,,Play,317788,1901,,40,,,,,Play,False,,True,,,
Up York State,1901-12-16,7090,Haverly's 14th Street Theatre,Original Production,,Play,318203,1901,,56,,,,,Play,False,,False,,,
Francesca da Rimini,1901-12-31,7480,Victoria Theatre,Revival,,Play,318209,1901,,56,,,,,Play,False,,True,,,
